@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.15838,0.43067,n
0.39353,0.72301,p
0.13670,0.51022,n
0.10627,0.52236,n
0.12754,0.58496,n
0.23247,0.44470,n
0.80021,0.70950,p
0.00482,0.03550,p
0.40873,0.11117,p
0.20825,0.58875,n
0.26894,0.52630,n
0.47756,0.95470,p
0.23163,0.48879,n
0.91858,0.58590,p
0.14477,0.44118,n
0.02938,0.59516,p
0.18042,0.51017,p
0.40491,0.71046,p
0.70539,0.47250,n
0.33073,0.74561,p
0.25369,0.56609,n
0.46709,0.20500,p
0.26695,0.50290,n
0.02753,0.07981,p
0.17370,0.75026,p
0.40449,0.67499,p
0.23291,0.45754,n
0.23211,0.27749,p
0.07739,0.45738,n
0.16650,0.44201,n
0.24009,0.61060,n
0.33646,0.37279,p
0.06169,0.14404,p
0.24153,0.48146,n
0.55877,0.13863,p
0.06031,0.19961,p
0.82205,0.52288,p
0.33322,0.53801,n
0.39240,0.52546,p
0.20116,0.77218,p
0.34585,0.47324,n
0.19213,0.46935,n
0.22225,0.61569,p
0.65868,0.88484,p
0.30782,0.20731,p
0.29917,0.01263,p
0.22408,0.53260,n
0.81742,0.09050,n
0.67452,0.05382,n
0.10208,0.55796,p
0.07673,0.54032,n
0.12663,0.42689,p
0.45981,0.37280,n
0.16239,0.59452,n
0.25041,0.44238,n
0.32982,0.47841,n
0.89758,0.97059,p
0.30485,0.57103,n
0.47260,0.12170,p
0.17585,0.80494,n
0.14779,0.48375,n
0.07471,0.80780,p
0.30066,0.56644,n
0.18675,0.43706,p
0.41105,0.65678,p
0.33417,0.92550,p
0.34484,0.18477,p
0.65678,0.04296,p
0.37796,0.42106,p
0.22314,0.26831,p
0.90461,0.08611,p
0.72052,0.17730,p
0.62113,0.70968,p
0.31368,0.50259,n
0.30046,0.42624,n
0.00740,0.42212,p
0.30898,0.41633,n
0.48357,0.84229,p
0.98540,0.17320,p
0.57473,0.32186,p
0.07202,0.00788,p
0.10553,0.49189,n
0.08953,0.47481,n
0.23291,0.62425,n
0.47981,0.15140,p
0.43298,0.20082,p
0.19397,0.42260,p
0.84416,0.85193,p
0.37660,0.58698,p
0.18241,0.49800,n
0.25630,0.49019,n
0.10231,0.41177,n
0.07548,0.50079,n
0.52933,0.33759,p
0.20089,0.38067,n
0.42110,0.70466,p
0.14871,0.52999,n
0.11866,0.38299,n
0.15467,0.47880,n
0.08615,0.49528,p
0.45860,0.16722,p
0.25414,0.49504,n
0.26308,0.52283,n
0.85369,0.81928,p
0.14918,0.53229,n
0.92032,0.21832,p
0.33289,0.44200,n
0.76779,0.29595,p
0.32432,0.15378,p
0.14982,0.57922,n
0.16042,0.88044,p
0.10607,0.55522,n
0.19404,0.53465,n
0.43735,0.65346,p
0.28676,0.41189,n
0.41775,0.41648,p
0.32011,0.48581,n
0.25496,0.53171,p
0.81522,0.70106,n
0.16626,0.44526,n
0.13806,0.37444,n
0.08377,0.47322,n
0.14719,0.36457,p
0.17442,0.42905,n
0.14859,0.52247,n
0.83214,0.53669,p
0.24706,0.39349,n
0.18044,0.99053,p
0.37906,0.99442,p
