@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.23796,0.54423,n
0.19738,0.40794,p
0.12092,0.52963,n
0.19080,0.80678,p
0.18359,0.27859,p
0.26859,0.52727,n
0.42298,0.47290,n
0.08613,0.50212,n
0.17856,0.37327,n
0.07158,0.42489,n
0.42586,0.87967,p
0.37424,0.89785,p
0.26218,0.46414,n
0.81322,0.66229,p
0.79247,0.66756,p
0.56384,0.10313,p
0.00490,0.14352,p
0.24997,0.61598,n
0.33480,0.43622,n
0.48590,0.21010,p
0.95534,0.39092,p
0.11918,0.27476,p
0.11253,0.88719,p
0.26585,0.38338,n
0.87254,0.04211,p
0.19344,0.52955,n
0.03706,0.50045,p
0.44422,0.56600,n
0.89205,0.13559,p
0.16082,0.49714,n
0.14348,0.45999,n
0.16823,0.49028,n
0.09427,0.47459,n
0.16476,0.62245,n
0.12395,0.05189,p
0.30472,0.60693,n
0.10500,0.56889,n
0.11013,0.08089,p
0.20599,0.53918,n
0.34615,0.48454,n
0.42285,0.64841,p
0.27598,0.43239,n
0.34479,0.74209,p
0.31194,0.46315,n
0.18113,0.38330,n
0.14634,0.60039,n
0.32316,0.50639,n
0.31813,0.35844,p
0.98050,0.93615,n
0.83523,0.28679,p
0.26975,0.12318,p
0.73222,0.34101,p
0.21465,0.54870,n
0.88385,0.43109,p
0.23224,0.46878,p
0.13290,0.53158,n
0.61996,0.35486,p
0.90996,0.85754,p
0.10079,0.53752,n
0.92319,0.86854,n
0.18608,0.57134,n
0.26944,0.50880,n
0.37238,0.87032,p
0.16996,0.64047,p
0.21135,0.75815,n
0.95313,0.84783,p
0.37251,0.04351,p
0.13679,0.62483,n
0.31573,0.57284,n
0.12210,0.49949,n
0.47966,0.24764,p
0.30473,0.47264,n
0.23956,0.58454,n
0.19668,0.60586,n
0.12204,0.59467,n
0.94701,0.29302,p
0.21583,0.54230,n
0.56013,0.39834,n
0.29810,0.83766,p
0.19182,0.53641,n
0.96986,0.21696,p
0.26543,0.36859,n
0.42933,0.67033,p
0.74004,0.92870,p
0.35648,0.50783,p
0.19501,0.57019,n
0.47415,0.96211,p
0.58658,0.87139,p
0.16517,0.82738,n
0.23655,0.64435,n
0.24966,0.46091,n
0.12104,0.97047,p
0.23450,0.41887,n
0.74473,0.08879,p
0.19523,0.51791,n
0.58091,0.46364,p
0.90911,0.79497,p
0.14345,0.70315,p
0.25980,0.46436,n
0.09685,0.23112,p
0.17661,0.37308,n
0.67685,0.35230,p
0.94836,0.79294,p
0.62563,0.30957,p
0.32302,0.44619,n
0.55182,0.41319,p
0.24359,0.17398,p
0.83627,0.31595,p
0.17094,0.62586,n
0.17899,0.44367,n
0.12885,0.14850,p
0.08817,0.52734,n
0.45304,0.27332,p
0.23987,0.37666,n
0.50581,0.27360,n
0.09776,0.57675,n
0.25472,0.76188,p
0.05229,0.51395,n
0.21659,0.50455,n
0.59990,0.08908,n
0.30764,0.97859,p
0.20784,0.54587,n
0.58971,0.35320,p
0.84870,0.68681,p
0.69532,0.19520,p
0.12724,0.90349,p
0.27729,0.19048,p
0.29274,0.46587,n
0.03130,0.25591,p
0.12014,0.08598,p
0.37378,0.52989,p
0.71787,0.31867,p
0.27268,0.58990,n
0.20556,0.61043,n
0.15146,0.52479,n
0.71039,0.91668,p
0.09008,0.07073,p
0.15830,0.53721,n
0.52628,0.07222,p
0.27470,0.51502,n
0.63932,0.99403,p
0.05137,0.45593,p
0.26916,0.53204,n
0.17381,0.50708,n
0.59675,0.48715,n
0.20175,0.50837,n
0.19812,0.45471,n
0.37538,0.77325,p
0.14995,0.36843,n
0.04737,0.04073,p
0.27110,0.62472,n
0.38810,0.75607,p
0.84632,0.27917,n
0.75569,0.59593,p
0.56775,0.73977,n
0.27102,0.65000,p
0.28816,0.53289,n
0.35990,0.75645,p
0.93186,0.37523,p
0.14126,0.61006,n
0.17557,0.43912,p
0.37244,0.26050,p
0.16728,0.37743,n
0.31637,0.56018,n
0.22215,0.53757,n
0.22921,0.59625,n
0.15095,0.57963,n
0.25595,0.54501,n
0.18166,0.64549,n
0.08232,0.56925,n
0.27300,0.44590,n
0.84519,0.48257,p
0.25170,0.52772,n
0.23354,0.42183,n
0.93204,0.86919,p
0.03665,0.97277,n
0.07818,0.47287,n
0.60869,0.58534,p
0.20857,0.42053,n
0.11856,0.40641,n
0.19338,0.40197,n
0.15934,0.61334,n
0.23004,0.57466,n
0.18046,0.48097,n
0.77335,0.71598,p
0.29364,0.39992,n
0.28077,0.51894,n
0.47482,0.14732,p
0.25470,0.51948,p
0.17532,0.50692,n
0.22793,0.19197,p
0.88650,0.37980,p
0.09726,0.01912,p
0.20095,0.47239,n
0.42236,0.40690,p
0.07977,0.44294,n
0.28055,0.56433,n
0.90078,0.62078,p
0.22860,0.62515,n
0.12839,0.13588,p
0.24321,0.48367,n
0.22555,0.42106,n
0.82185,0.95355,n
0.31608,0.56475,n
0.30762,0.55515,n
0.54623,0.95039,p
0.06141,0.38189,p
0.41865,0.50952,p
0.01211,0.03805,p
0.39594,0.44409,p
0.17387,0.50707,n
0.08491,0.50501,n
0.08344,0.38303,p
0.81290,0.99263,p
0.08053,0.57314,n
0.21352,0.54173,n
0.60756,0.33478,p
0.09499,0.50732,n
0.24234,0.40797,n
0.29012,0.60327,n
0.03933,0.32210,p
0.82099,0.21073,p
0.07568,0.48855,n
0.23324,0.44080,p
0.10779,0.45810,n
0.10895,0.56334,p
0.20095,0.58317,n
0.07809,0.43987,n
0.15766,0.39551,n
0.81410,0.65988,p
0.21416,0.53869,n
0.97987,0.53179,p
0.16745,0.52770,p
0.30504,0.41118,n
0.82297,0.80668,p
0.10182,0.53799,n
0.11127,0.49929,n
0.29327,0.49788,p
0.34753,0.63989,p
0.05964,0.40966,p
0.21611,0.47162,n
0.28930,0.58497,n
0.29554,0.41433,n
0.85873,0.32836,n
0.08432,0.55658,n
0.27582,0.57557,p
0.64658,0.75338,p
0.32014,0.43329,p
0.19972,0.62325,n
0.63729,0.44754,p
0.22807,0.49278,n
0.35477,0.66173,p
0.50206,0.07547,p
0.45819,0.05013,p
0.32269,0.53778,n
0.22579,0.41854,n
0.70417,0.79780,p
0.33071,0.54699,n
0.38807,0.25093,p
0.12316,0.47145,n
0.27232,0.62418,n
0.19066,0.46576,n
0.14351,0.61083,n
0.03189,0.41573,p
