@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.15318,0.63835,n
0.21592,0.41594,n
0.20871,0.42659,n
0.31327,0.46237,n
0.12280,0.38325,n
0.14662,0.42925,n
0.28292,0.60995,n
0.08233,0.68958,n
0.16978,0.41800,n
0.25390,0.41963,n
0.11805,0.41947,n
0.33512,0.45971,n
0.26878,0.52088,n
0.20416,0.42424,n
0.28854,0.09646,p
0.10806,0.41901,n
0.10292,0.51631,n
0.24375,0.65969,p
0.80627,0.06674,p
0.27296,0.43481,n
0.68044,0.32318,p
0.45561,0.24236,p
0.24995,0.61258,n
0.67346,0.29919,p
0.15894,0.91496,p
0.64891,0.81729,n
0.15869,0.56096,n
0.94226,0.65089,p
0.00089,0.71120,p
0.30848,0.28430,p
0.36899,0.49916,p
0.10617,0.55427,n
0.21817,0.58940,n
0.13393,0.51971,n
0.10882,0.46487,p
0.16806,0.48012,n
0.95774,0.96641,p
0.10106,0.50425,n
0.92921,0.36407,p
0.29844,0.46794,n
0.21741,0.56259,n
0.77799,0.43934,p
0.24826,0.88211,p
0.72639,0.97939,p
0.15343,0.54308,p
0.26412,0.44063,n
0.42332,0.78342,p
0.29318,0.56843,p
0.63886,0.49061,p
0.27226,0.73936,p
0.16321,0.52973,n
0.74845,0.00330,p
0.20584,0.35500,n
0.22244,0.64864,p
0.81116,0.59558,p
0.50366,0.69392,n
0.07536,0.79980,n
0.08719,0.52663,n
0.61556,0.07807,p
0.25065,0.54000,n
0.09650,0.44488,p
0.28225,0.36653,p
0.06477,0.55019,n
0.09546,0.74733,p
0.25444,0.40682,n
0.45900,0.68991,n
0.95859,0.42203,p
0.40971,0.19342,p
0.38496,0.23389,p
0.94970,0.33712,p
0.19860,0.39603,n
0.01118,0.01647,p
0.26868,0.41428,n
0.06448,0.45396,n
0.18194,0.38092,n
0.26573,0.60562,n
0.28599,0.38536,n
0.15282,0.66511,p
0.18393,0.85165,p
0.29798,0.58649,n
0.63166,0.29831,p
0.10207,0.55776,n
0.30490,0.52673,n
0.66280,0.58561,p
0.43733,0.54070,p
0.23712,0.47812,n
0.11345,0.60009,p
0.75958,0.02971,p
0.57253,0.14319,n
0.59963,0.12463,p
0.16670,0.53693,n
0.19098,0.62450,n
0.55050,0.36443,p
0.26105,0.43918,n
0.26622,0.48657,n
0.21979,0.57393,n
0.15009,0.47594,n
0.28417,0.86797,p
0.16538,0.48415,p
0.24275,0.38957,n
0.05890,0.50107,n
0.00235,0.08254,p
0.34929,0.49440,p
0.33011,0.81610,p
0.25309,0.43441,n
0.20481,0.59237,n
0.30612,0.52502,n
0.21175,0.44767,p
0.06931,0.50813,n
0.44661,0.11557,p
0.18591,0.41063,p
0.31874,0.57503,p
0.23437,0.51225,n
0.07061,0.46658,n
0.67409,0.98694,p
0.12035,0.50779,n
0.74099,0.36936,n
0.27571,0.46297,p
0.66605,0.17426,p
0.76998,0.91724,p
0.88540,0.19789,p
0.15295,0.68909,p
0.21814,0.31501,p
0.24703,0.37924,n
0.47168,0.52860,p
0.14323,0.52940,n
0.25429,0.61931,p
0.22067,0.59317,n
0.70722,0.58087,p
0.59018,0.80135,p
0.28960,0.53902,n
0.08573,0.41971,n
0.19818,0.58142,n
0.27295,0.51385,n
0.09308,0.53761,p
0.91798,0.12919,p
0.32192,0.56007,n
0.58881,0.28740,p
0.99140,0.24736,p
0.29982,0.45676,n
0.79301,0.78681,p
0.20742,0.54981,n
0.04152,0.45069,p
0.99184,0.45351,p
0.28627,0.47343,n
0.27215,0.51513,n
0.58160,0.61103,p
0.11788,0.51138,p
0.16281,0.51067,n
0.17053,0.66542,p
0.05703,0.51663,n
0.07836,0.54183,n
0.10768,0.49418,n
0.42643,0.14209,p
0.33115,0.43784,n
0.32780,0.42152,n
0.87001,0.44387,p
0.30250,0.24491,p
0.30822,0.83529,p
0.98683,0.02332,p
0.05954,0.46412,n
0.13851,0.64082,p
0.26593,0.43041,n
0.06302,0.55302,n
0.24022,0.93603,n
0.20352,0.38092,p
0.66094,0.27613,p
0.82424,0.29395,n
0.12851,0.38893,n
0.23632,0.37206,n
0.24974,0.47668,n
0.77961,0.15708,p
0.94666,0.55885,p
0.87790,0.27382,p
0.15477,0.46466,n
0.21690,0.37137,n
0.15582,0.39316,n
0.23399,0.63310,n
0.63676,0.92102,p
0.57966,0.62594,p
0.81552,0.59898,p
0.27734,0.42131,n
0.03450,0.04257,p
0.31665,0.42692,n
0.50819,0.45900,p
0.21265,0.59638,n
0.62949,0.92791,p
0.46808,0.17063,p
0.80500,0.50192,p
0.35464,0.32656,p
0.20724,0.39736,n
0.00018,0.40006,p
0.18333,0.49806,p
0.25474,0.40277,n
0.14066,0.43728,n
0.99336,0.68991,p
0.27776,0.41292,n
0.11074,0.42527,n
0.78624,0.91070,p
0.32863,0.57161,n
0.26103,0.44636,n
0.15828,0.57843,n
0.27659,0.37273,n
0.20480,0.48082,n
0.57252,0.41685,p
0.27622,0.44914,n
0.40031,0.88774,p
0.32992,0.51437,n
0.29903,0.52231,n
0.68891,0.20872,p
0.39413,0.43972,n
0.12542,0.10830,p
0.14905,0.44590,n
0.36740,0.33815,p
0.27146,0.62869,n
0.64019,0.40214,p
0.88137,0.40086,p
0.99136,0.77068,p
0.12368,0.57797,n
0.74180,0.18542,p
0.20504,0.63832,n
0.27042,0.40298,p
0.35515,0.92152,p
0.31046,0.50645,n
0.18589,0.35708,n
0.22267,0.54022,n
0.93197,0.13920,p
0.86541,0.09207,p
0.68024,0.10611,p
0.25588,0.56031,n
